chr1	739737	740337	105	22	36	9	221	95
chr1	947737	948137	28	26	83	1	2	1
chr1	948137	948537	44	69	79	5	202	38
chr1	973937	974137	1	0	95	2	8	3
chr1	998537	999337	1	0	3	104	62	1
chr1	1093937	1094137	4	1	4	329	117	3
chr1	1147937	1148137	0	43	0	0	1	5
chr1	1148137	1148337	0	87	0	0	6	5
chr1	1148337	1148937	57	54	2	2	8	43
chr1	1149937	1151137	264	365	223	185	210	127
chr1	1185337	1186537	105	136	209	608	349	132
chr1	1186537	1186737	63	0	1	94	9	16
chr1	1206137	1206737	89	107	369	333	152	166
chr1	1240137	1240537	245	123	37	71	96	127
chr1	1240537	1241137	269	422	114	117	193	115
chr1	1307137	1307537	248	286	178	608	325	351
chr1	1347137	1348537	138	152	474	406	323	208
chr1	1352537	1352737	0	0	0	0	0	0
chr1	1352737	1354337	3	76	5	7	122	58
chr1	1354337	1354737	0	55	2	2	80	20
chr1	1397537	1397737	0	0	0	0	0	0
chr1	1397737	1398137	0	0	1	0	0	2
chr1	1440337	1440937	162	118	64	249	232	74
chr1	1440937	1441537	3	63	82	286	39	49
chr1	1538337	1538537	2	38	4	112	114	32
chr1	1538537	1538937	0	0	84	2	3	61
chr1	1542337	1542737	0	0	0	112	7	10
chr1	1606737	1606937	1	28	1	1	30	18
chr1	1606937	1607737	67	33	38	181	117	73
chr1	1607737	1607937	1	16	19	0	2	5
chr1	1608737	1610537	201	78	30	381	67	86
chr1	1610537	1610937	1	2	102	58	1	0
chr1	1622340	1622940	288	244	395	635	402	135
chr1	1656540	1656940	56	106	17	231	139	82
chr1	1669340	1669740	3	20	4	115	144	44
chr1	1669740	1671140	73	92	170	444	244	119
chr1	1671140	1671740	16	12	29	23	24	26
chr1	1675740	1676540	441	454	769	903	608	349
chr1	1706740	1707940	225	305	346	289	415	372
chr1	1710540	1712540	701	931	1933	2788	2391	986
chr1	1712540	1713940	506	347	446	1285	671	552
chr1	1713940	1714540	610	449	939	1360	645	499
chr1	1714540	1715140	302	314	336	440	225	222
chr1	1759340	1759540	28	0	0	1	2	6
chr1	1759540	1760340	53	24	13	0	77	9
chr1	1760340	1760540	15	32	0	1	33	7
chr1	1760540	1761140	34	40	2	4	5	61
chr1	1765140	1765940	139	135	327	125	253	159
chr1	1765940	1766740	48	159	6	48	186	28
chr1	1766740	1767140	3	3	95	39	246	39
chr1	1767140	1767340	0	32	0	0	1	0
chr1	1771540	1772140	0	37	37	0	2	0
chr1	1772140	1773540	7	73	3	94	41	97
chr1	1773540	1773940	59	29	4	65	10	19
chr1	1773940	1774540	123	67	91	133	138	98
chr1	1774540	1775140	76	32	134	184	166	60
chr1	1779140	1779540	59	30	61	5	40	50
chr1	1779540	1780140	0	1	49	9	74	0
chr1	1780140	1780540	44	72	162	110	110	80
chr1	1780540	1780740	50	2	176	89	107	66
chr1	1792140	1792940	52	102	23	30	7	25
chr1	1794140	1794940	102	130	5	201	107	21
chr1	1794940	1795140	36	61	96	4	6	16
chr1	1795140	1795740	49	2	5	88	130	41
chr1	1795740	1796740	141	244	231	361	239	105
chr1	1796740	1796940	19	3	1	3	7	24
chr1	1838340	1839540	162	119	546	430	392	60
chr1	1839540	1840140	274	142	836	965	989	381
chr1	2043740	2043940	0	0	0	0	0	7
chr1	2043940	2044540	0	0	2	5	1	0
chr1	2126740	2127140	208	216	422	1765	399	164
